"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
244,"f1.0",0.0409873385201152,0.174943283358162,-0.204936692600576,3.98016423447806,-0.2,-0.301901496861883,0.383876173902113,0.97,0.12,1,100,"LL","3 Slopes","1st","Intercept"
244,"f1.1",-0.0358841964643231,0.157038954275111,-0.11961398821441,1.27214360755457,0.3,-0.34368054684354,0.271912153914894,0.96,0.43,1,100,"LL","3 Slopes","1st","Slope"
244,"f12.0",-0.0793719444188959,0.370897597189071,0.132286574031493,0.996743668010226,-0.6,-0.806331234909475,0.647587346071684,0.94,0.42,1,100,"LL","3 Slopes","2nd","Intercept"
244,"f12.1",0.0311731026405332,0.310515054087471,0.0389663783006665,0.400579984911194,0.8,-0.577436403370909,0.639782608651976,0.92,0.87,1,100,"LL","3 Slopes","2nd","Slope"
244,"f2.0",-0.000520168968130095,0.194784324770341,0.000866948280216825,0.507866910524518,-0.6,-0.382297445517998,0.381257107581737,0.96,0.82,1,100,"LL","3 Slopes","1st","Intercept"
244,"f2.1",-0.00680763692253925,0.192776308395806,-0.0136152738450785,0.429960220356206,0.5,-0.384649201378319,0.37103392753324,0.93,0.8,1,100,"LL","3 Slopes","1st","Slope"
403,"f1.0",0.00225122774030279,0.154897455310101,-0.0112561387015139,1.57633172500003,-0.2,-0.301347784667495,0.305850240148101,0.92,0.26,1,100,"LL","3 Slopes","1st","Intercept"
403,"f1.1",0.015685938977976,0.117628497260382,0.0522864632599201,0.477803652511859,0.3,-0.214865915652373,0.246237793608325,0.95,0.78,1,100,"LL","3 Slopes","1st","Slope"
403,"f12.0",-0.0220880163259892,0.340422466060397,0.0368133605433153,1.02489472754758,-0.6,-0.689316049804367,0.645140017152389,0.93,0.46,1,100,"LL","3 Slopes","2nd","Intercept"
403,"f12.1",0.0149495295972522,0.198641835687469,0.0186869119965653,0.276831326530372,0.8,-0.374388468350187,0.404287527544691,0.97,1,1,100,"LL","3 Slopes","2nd","Slope"
403,"f2.0",-0.024340861801722,0.182899937811055,0.0405681030028701,0.311833608681961,-0.6,-0.382824739911389,0.334143016307945,0.93,0.95,1,100,"LL","3 Slopes","1st","Intercept"
403,"f2.1",0.0153290858166356,0.145926456665218,0.0306581716332713,0.269208591569216,0.5,-0.270686769247191,0.301344940880463,0.94,1,1,100,"LL","3 Slopes","1st","Slope"
665,"f1.0",-0.00706575691214993,0.122572371261164,0.0353287845607496,6.76914250767325,-0.2,-0.247307604584032,0.233176090759732,0.95,0.38,1,100,"LL","3 Slopes","1st","Intercept"
665,"f1.1",-0.00423946081697383,0.0909809435148176,-0.0141315360565794,0.351287486456686,0.3,-0.182562110106016,0.174083188472069,0.95,0.92,1,100,"LL","3 Slopes","1st","Slope"
665,"f12.0",0.0133515491277947,0.238542166366985,-0.0222525818796578,0.512914939772241,-0.6,-0.454191096951496,0.480894195207085,0.94,0.74,1,100,"LL","3 Slopes","2nd","Intercept"
665,"f12.1",-0.0141521118538388,0.159354604713424,-0.0176901398172986,0.206998675351887,0.8,-0.32648713709215,0.298182913384472,0.93,1,1,100,"LL","3 Slopes","2nd","Slope"
665,"f2.0",0.00568158722100888,0.139210283284054,-0.00946931203501479,0.23454935756179,-0.6,-0.267170568015738,0.278533742457756,0.95,0.99,1,100,"LL","3 Slopes","1st","Intercept"
665,"f2.1",0.00902937617549549,0.0950731172020531,0.018058752350991,0.201849083466498,0.5,-0.177313933540529,0.195372685891519,0.97,1,1,100,"LL","3 Slopes","1st","Slope"
1096,"f1.0",-0.00870343295695851,0.0753914789577424,0.0435171647847926,0.601444413728673,-0.2,-0.156470731714134,0.139063865800217,0.98,0.65,1,100,"LL","3 Slopes","1st","Intercept"
1096,"f1.1",-0.00741888929898409,0.0717570115364001,-0.0247296309966136,0.259987123858329,0.3,-0.148062631910328,0.13322485331236,0.94,1,1,100,"LL","3 Slopes","1st","Slope"
1096,"f12.0",-0.0132058406402772,0.146327612958311,0.0220097344004619,0.306912918068402,-0.6,-0.300007962038566,0.273596280758012,1,0.98,1,100,"LL","3 Slopes","2nd","Intercept"
1096,"f12.1",0.0165544975492929,0.120392578856474,0.0206931219366162,0.155840721172033,0.8,-0.219414957009396,0.252523952107982,0.98,1,1,100,"LL","3 Slopes","2nd","Slope"
